team1,team2,winner,margin,matchDate,match_id
Titans,Super Kings,Super Kings,5 wickets,2023-05-28,T208201
Titans,Mumbai,Titans,62 runs,2023-05-26,T203496
Mumbai,Super Giants,Mumbai,81 runs,2023-05-24,T203571
Super Kings,Titans,Super Kings,15 runs,2023-05-23,T206084
RCB,Titans,Titans,6 wickets,2023-05-21,T201605
Sunrisers,Mumbai,Mumbai,8 wickets,2023-05-21,T206817
Super Giants,KKR,Super Giants,1 run,2023-05-20,T203370
Super Kings,Capitals,Super Kings,77 runs,2023-05-20,T206925
Punjab Kings,Royals,Royals,4 wickets,2023-05-19,T205037
Sunrisers,RCB,RCB,8 wickets,2023-05-18,T202467
Capitals,Punjab Kings,Capitals,15 runs,2023-05-17,T201082
Super Giants,Mumbai,Super Giants,5 runs,2023-05-16,T208249
Titans,Sunrisers,Titans,34 runs,2023-05-15,T208692
Super Kings,KKR,KKR,6 wickets,2023-05-14,T206211
RCB,Royals,RCB,112 runs,2023-05-14,T204453
Punjab Kings,Capitals,Punjab Kings,31 runs,2023-05-13,T208032
Sunrisers,Super Giants,Super Giants,7 wickets,2023-05-13,T204737
Mumbai,Titans,Mumbai,27 runs,2023-05-12,T203656
KKR,Royals,Royals,9 wickets,2023-05-11,T205338
Super Kings,Capitals,Super Kings,27 runs,2023-05-10,T209224
RCB,Mumbai,Mumbai,6 wickets,2023-05-09,T205430
Punjab Kings,KKR,KKR,5 wickets,2023-05-08,T201181
Royals,Sunrisers,Sunrisers,4 wickets,2023-05-07,T201576
Titans,Super Giants,Titans,56 runs,2023-05-07,T201503
RCB,Capitals,Capitals,7 wickets,2023-05-06,T208517
Mumbai,Super Kings,Super Kings,6 wickets,2023-05-06,T204004
Royals,Titans,Titans,9 wickets,2023-05-05,T206195
KKR,Sunrisers,KKR,5 runs,2023-05-04,T208611
Punjab Kings,Mumbai,Mumbai,6 wickets,2023-05-03,T205138
Capitals,Titans,Capitals,5 runs,2023-05-02,T203464
RCB,Super Giants,RCB,18 runs,2023-05-01,T203494
Royals,Mumbai,Mumbai,6 wickets,2023-04-30,T204100
Super Kings,Punjab Kings,Punjab Kings,4 wickets,2023-04-30,T204443
Sunrisers,Capitals,Sunrisers,9 runs,2023-04-29,T207344
KKR,Titans,Titans,7 wickets,2023-04-29,T201505
Super Giants,Punjab Kings,Super Giants,56 runs,2023-04-28,T204958
Royals,Super Kings,Royals,32 runs,2023-04-27,T204283
KKR,RCB,KKR,21 runs,2023-04-26,T202291
Titans,Mumbai,Titans,55 runs,2023-04-25,T208781
Capitals,Sunrisers,Capitals,7 runs,2023-04-24,T206316
Super Kings,KKR,Super Kings,49 runs,2023-04-23,T207135
RCB,Royals,RCB,7 runs,2023-04-23,T205220
Punjab Kings,Mumbai,Punjab Kings,13 runs,2023-04-22,T204462
Titans,Super Giants,Titans,7 runs,2023-04-22,T208595
Sunrisers,Super Kings,Super Kings,7 wickets,2023-04-21,T208568
KKR,Capitals,Capitals,4 wickets,2023-04-20,T206506
RCB,Punjab Kings,RCB,24 runs,2023-04-20,T209410
Super Giants,Royals,Super Giants,10 runs,2023-04-19,T205539
Mumbai,Sunrisers,Mumbai,14 runs,2023-04-18,T203831
Super Kings,RCB,Super Kings,8 runs,2023-04-17,T206232
Titans,Royals,Royals,3 wickets,2023-04-16,T204210
KKR,Mumbai,Mumbai,5 wickets,2023-04-16,T202897
Super Giants,Punjab Kings,Punjab Kings,2 wickets,2023-04-15,T203424
RCB,Capitals,RCB,23 runs,2023-04-15,T208157
Sunrisers,KKR,Sunrisers,23 runs,2023-04-14,T209839
Punjab Kings,Titans,Titans,6 wickets,2023-04-13,T206541
Royals,Super Kings,Royals,3 runs,2023-04-12,T201215
Capitals,Mumbai,Mumbai,6 wickets,2023-04-11,T207664
RCB,Super Giants,Super Giants,1 wicket,2023-04-10,T202162
Punjab Kings,Sunrisers,Sunrisers,8 wickets,2023-04-09,T206444
Titans,KKR,KKR,3 wickets,2023-04-09,T208626
Mumbai,Super Kings,Super Kings,7 wickets,2023-04-08,T206408
Royals,Capitals,Royals,57 runs,2023-04-08,T207547
Sunrisers,Super Giants,Super Giants,5 wickets,2023-04-07,T209590
KKR,RCB,KKR,81 runs,2023-04-06,T207668
Punjab Kings,Royals,Punjab Kings,5 runs,2023-04-05,T201031
Capitals,Titans,Titans,6 wickets,2023-04-04,T205026
Super Kings,Super Giants,Super Kings,12 runs,2023-04-03,T202790
Mumbai,RCB,RCB,8 wickets,2023-04-02,T202485
Royals,Sunrisers,Royals,72 runs,2023-04-02,T209117
Super Giants,Capitals,Super Giants,50 runs,2023-04-01,T208512
Punjab Kings,KKR,Punjab Kings,7 runs,2023-04-01,T202853
Super Kings,Titans,Titans,5 wickets,2023-03-31,T201566
